invoice_id,first_name,last_name,state,rank_by_state,zip,check_in,bedrooms,weekly_rate,rent_discount,total_sale,sum_total,parking,mgmt_discount,pool_access,repeat_customer,year,currency,address,city,county,customer_phone,personal_email,customer_id
504-845-1427,Anthony,Zion,FL,46.5,33155,2021-4-4,1,610,0.0,2500,3110.0,False,False,False,False,2021,USD,4795 SW 75th Ave,Miami,Miami-Dade,504-621-8927,ziona@gmail.com,A00001
810-374-9840,Peter,Montgomery,GA,4.5,30310,2021-4-29,1,1190,0.85,5500,7701.5,True,True,True,True,2021,USD,1163 Metropolitan Pkwy,Atlanta,Fulton,810-292-9388,peter_phine@aol.com,A00002
336-477-9453,Alia,Lau,TX,3.5,78704,2021-5-28,3,1410,0.0,4500,5910.0,True,False,True,False,2021,USD,208 Barton Springs Rd,Austin,Travis,888-227-1460,laut@yahoo.com,A00003
719-298-4547,Elvia,Ortiz,MD,7.5,21210,2021-11-16,3,1070,0.85,2500,4479.5,True,True,True,True,2021,USD,732 Deepdene Rd,Baltimore,Baltimore,907-385-4412,ortizE@hotmail.com,A00004
606-203-9476,Chris,Carter,NC,4.5,28207,2021-11-10,3,1400,0.0,3500,4900.0,True,False,True,True,2021,USD,1361 Queens Rd,Charlotte,Mecklenburg,513-570-1893,chris_carter@hpt.net,A00005
419-800-6759,Simona,Lee,IL,14.5,60661,2021-10-12,2,660,0.0,6500,7160.0,False,False,True,True,2021,USD,131 N Clinton St,Chicago,Cook,419-503-2484,simona@aol.com,A00006
773-924-8565,Laura,Tollner,TX,18.5,75235,2021-10-6,3,1200,0.85,6500,8720.0,True,True,True,True,2021,USD,6124 Denton Dr,Dallas,Dallas,773-573-6914,laura_tollner@yahoo.com,A00007
408-813-1105,Leota,Atari,FL,20.0,33130,2021-2-19,1,1110,0.0,2500,3610.0,True,False,False,False,2021,USD,101 W Flagler St,Miami,Miami-Dade,408-752-3500,leota@hotmail.com,A00008
605-794-4895,Dan,Wieser,OH,4.5,45229,2021-1-7,3,1210,0.0,5500,6710.0,True,False,True,True,2021,USD,4150 Reading Rd,Cincinnati,Hamilton,605-414-2147,dan_wieser@stp.edu,A00009
410-804-4694,Kris,Bond,MI,1.5,48214,2021-2-4,2,1410,0.0,2500,3910.0,True,False,True,False,2021,USD,3030 Fairview St,Detroit,Wayne,410-655-8723,kris@gmail.com,A00010
215-422-8694,Alan,West,TN,6.5,38105,2021-3-2,1,970,0.0,4500,5470.0,False,False,False,False,2021,USD,920 Peach Ave,Memphis,Shelby,215-874-1229,alan_west@hotmail.com,A00011
631-677-3675,Elena,Stephens,MO,1.5,64111,2021-4-8,2,1280,0.85,5500,7868.0,True,True,True,False,2021,USD,801 Westport Rd,Kansas City,Jackson,631-335-3414,elenas@gmail.com,A00012
310-254-3084,Sonia,Jarvis,NV,4.5,89129,2021-8-25,1,830,0.0,5500,6330.0,True,False,False,False,2021,USD,9850 W Cheyenne Ave,Las Vegas,Clark,310-498-5651,sonia.jar@aol.com,A00013
440-579-7763,Emma,Werner,CA,37.0,90006,2021-4-7,1,970,0.0,5500,6470.0,False,False,False,True,2021,USD,2771 W Pico Blvd,Los Angeles,Los Angeles,440-780-8425,wer_emma@hpt.net,A00014
956-841-7216,Zachary,Mcgrath,TN,9.5,38103,2021-7-28,2,500,0.0,4500,5000.0,True,False,True,True,2021,USD,201 Poplar Ave,Memphis,Shelby,956-537-6195,zacharym@gmail.com,A00015
602-953-6360,Jay,Mcclain,FL,14.5,33125,2021-11-9,2,1190,0.0,3500,4690.0,True,False,False,False,2021,USD,1881 NW 7th St,Miami,Miami-Dade,602-277-4385,jay.mcciain@aol.com,A00016
931-235-7959,Tyree,Mays,NY,16.5,10017,2021-4-1,1,1160,0.0,5500,6660.0,True,False,True,False,2021,USD,217 E 49th St,New York,New York,931-313-9635,mayst@hotmail.com,A00017
414-377-2880,Wendy,Rogers,IN,3.5,46220,2021-3-9,2,1230,0.0,3500,4730.0,True,False,True,False,2021,USD,811 E Westfield Blvd,Indianapolis,Marion,414-661-9598,rogersw@rim.org,A00018
313-341-4470,Rod,Harper,MO,6.5,64127,2021-9-11,1,1090,0.0,4500,5590.0,True,False,True,False,2021,USD,2645 Brooklyn Ave,Kansas City,Jackson,313-288-7937,harper_rod@aol.com,A00019
815-426-5657,Lloyd,Potter,NV,1.5,89103,2021-11-22,1,1120,0.0,3500,4620.0,True,False,True,True,2021,USD,3505 S Valley View Blvd,Las Vegas,Clark,815-828-2147,potterl@yahoo.com,A00020
610-492-4643,Kelly,Schroeder,PA,21.5,19014,2021-8-29,3,900,0.85,6500,8165.0,False,True,True,False,2021,USD,6 S 33rd St,Aston,Delaware,610-545-3615,kellys@hpt.net,A00021
408-813-4592,Lamon,Stark,CA,34.5,95111,2021-9-29,3,1010,0.0,2500,3510.0,True,False,True,True,2021,USD,378 Greenleaf Ave,San Jose,Santa Clara,408-540-1785,starkla@aol.com,A00022
972-896-4882,Manual,Stout,TX,29.5,75062,2021-11-29,2,930,0.0,6500,7430.0,True,False,True,False,2021,USD,618 W Yakima Ave,Irving,Dallas,972-303-9197,mstouk@hotmail.com,A00023
518-448-8982,Ella,Elliott,NY,26.5,12204,2021-8-20,3,1000,0.0,5500,6500.0,True,False,False,True,2021,USD,74 S Westgate St,Albany,Albany,518-966-7987,elliott.el@yahoo.com,A00024
732-635-3453,Bruce,Jefferson,NJ,32.5,8846,2021-5-9,2,660,0.0,2500,3160.0,True,False,False,False,2021,USD,3273 State St,Middlesex,Middlesex,732-658-3154,bruce.j@stp.edu,A00025
715-530-9863,Benjamin,Rivas,WI,9.5,54481,2021-1-11,1,730,0.0,2500,3230.0,False,False,True,False,2021,USD, 276 Central Ave,Stevens Point,Portage,715-662-6764,rivas_ben@hpt.net,A00026
913-899-1103,Kristine,Levine,KS,4.5,66218,2021-10-19,3,1030,0.0,4500,5530.0,True,False,True,False,2021,USD,86 Nw 66th St #8,Shawnee,Johnson,913-388-2079,kristine@qa.org,A00027
410-235-8738,Graham,Wise,MD,11.5,21601,2021-11-2,1,900,0.0,5500,6400.0,False,False,False,True,2021,USD,923 Cedar Ave #84,Easton,Talbot,410-669-1642,wiseg@aol.com,A00028
212-934-5167,Mattie,Blackwell,NY,39.5,10011,2021-7-19,2,540,0.0,6500,7040.0,False,False,True,True,2021,USD,9099 Thorburn Ave,New York,New York,212-582-4976,blackwell_mat@yahoo.com,A00029
936-597-3614,Billie,Webster,TX,8.5,77301,2021-5-2,2,1330,0.0,2500,3830.0,True,False,True,True,2021,USD,386 9th Ave N,Conroe,Montgomery,936-336-3951,websterb@aol.com,A00030
614-648-3265,Dan,Brandt,OH,6.5,43215,2021-1-1,3,850,0.0,4500,5350.0,False,False,False,True,2021,USD,4874 Atlantic Ave,Columbus,Franklin,614-801-9788,dan.br@hotmail.com,A00031
505-335-5293,Wilber,Norris,NM,1.5,88011,2021-10-20,3,1240,0.0,5500,6740.0,True,False,False,False,2021,USD,366 South Dr,Las Cruces,Dona Ana,505-977-3911,norrisw@gmail.com,A00032
201-387-9093,Casey,Leon,NJ,5.0,7660,2021-2-4,3,1460,0.0,2500,3960.0,True,False,True,False,2021,USD,745 E Liberty St,Ridgefield Park,Bergen,201-709-6245,leonca@aol.com,A00033
