customer_id,First_Name,last_name,address,City,county,state,ZIP,customer_phone,Fax_Number, Customer_Email,Rental_ID,Weekly_Rate,Parking,Pool_Access,Repeat_Customer,Bedrooms,MGMT_Discount,Date
A00001,Anthony,Zion,4795 SW 75th Ave,Miami,Miami-Dade,FL,33155,504-621-8927,504-845-1427,ziona@gmail.com,32,610,False,False,False,1,False,2021-4-4
A00002,Peter,Montgomery,1163 Metropolitan Pkwy,Atlanta,Fulton,GA,30310,810-292-9388,810-374-9840,peter_phine@aol.com,32,1190,True,True,True,1,True,2021-4-29
A00003,Alia,Lau,208 Barton Springs Rd,Austin,Travis,TX,78704,888-227-1460,336-477-9453,laut@yahoo.com,22,1410,True,True,False,3,False,2021-5-28
A00004,Elvia,Ortiz,732 Deepdene Rd,Baltimore,Baltimore,MD,21210,907-385-4412,719-298-4547,ortizE@hotmail.com,87,1070,True,True,True,3,True,2021-11-16
A00005,Chris,Carter,1361 Queens Rd,Charlotte,Mecklenburg,NC,28207,513-570-1893,606-203-9476,chris_carter@hpt.net,45,1400,True,True,True,3,False,2021-11-10
A00006,Simona,Lee,131 N Clinton St,Chicago,Cook,IL,60661,419-503-2484,419-800-6759,simona@aol.com,22,660,False,True,True,2,False,2021-10-12
A00007,Laura,Tollner,6124 Denton Dr,Dallas,Dallas,TX,75235,773-573-6914,773-924-8565,laura_tollner@yahoo.com,98,1200,True,True,True,3,True,2021-10-6
A00008,Leota,Atari,101 W Flagler St,Miami,Miami-Dade,FL,33130,408-752-3500,408-813-1105,leota@hotmail.com,23,1110,True,False,False,1,False,2021-2-19
A00009,Dan,Wieser,4150 Reading Rd,Cincinnati,Hamilton,OH,45229,605-414-2147,605-794-4895,dan_wieser@stp.edu,45,1210,True,True,True,3,False,2021-1-7
A00010,Kris,Bond,3030 Fairview St,Detroit,Wayne,MI,48214,410-655-8723,410-804-4694,kris@gmail.com,22,1410,True,True,False,2,False,2021-2-4
A00001,Anthony,Zion,4795 SW 75th Ave,Miami,Miami-Dade,FL,33155,504-621-8927,504-845-1427,ziona@gmail.com,32,610,False,False,False,1,False,2021-4-4
A00011,Alan,West,920 Peach Ave,Memphis,Shelby,TN,38105,215-874-1229,215-422-8694,alan_west@hotmail.com,87,970,False,False,False,1,False,2021-3-2
A00012,Elena,Stephens,801 Westport Rd,Kansas City,Jackson,MO,64111,631-335-3414,631-677-3675,elenas@gmail.com,56,1280,True,True,False,2,True,2021-4-8
